altitude_ft,timestamp_fixed,cat,lat,lng
1014,0,HAB_0,38.5045,-89.6215
1961,30,HAB_0,38.50167,-89.62167
2544,60,HAB_0,38.49933,-89.62233
3009,90,HAB_0,38.49683,-89.623
3482,120,HAB_0,38.4945,-89.62417
3941,150,HAB_0,38.492,-89.62483
4389,180,HAB_0,38.4895,-89.62483
4822,210,HAB_0,38.4865,-89.62467
5342,240,HAB_0,38.484,-89.62467
5871,270,HAB_0,38.48183,-89.62467
6324,300,HAB_0,38.47933,-89.62483
6727,330,HAB_0,38.47767,-89.62533
7256,360,HAB_0,38.47533,-89.62683
7722,390,HAB_0,38.4725,-89.629
8103,420,HAB_0,38.47,-89.6315
8474,450,HAB_0,38.46683,-89.63417
8849,480,HAB_0,38.46383,-89.6365
9327,510,HAB_0,38.4605,-89.63917
9833,540,HAB_0,38.45683,-89.64167
10296,570,HAB_0,38.45317,-89.64467
10746,600,HAB_0,38.449,-89.64717
11174,630,HAB_0,38.44433,-89.65017
11550,660,HAB_0,38.44,-89.65217
11963,690,HAB_0,38.43517,-89.65367
12410,720,HAB_0,38.4305,-89.6555
12753,750,HAB_0,38.42567,-89.657
13225,780,HAB_0,38.421,-89.65833
13675,810,HAB_0,38.4165,-89.66017
14160,840,HAB_0,38.413,-89.6615
14643,870,HAB_0,38.40967,-89.66283
15089,900,HAB_0,38.40683,-89.66383
15594,930,HAB_0,38.40367,-89.665
16116,960,HAB_0,38.40067,-89.666
16590,990,HAB_0,38.39683,-89.66683
17155,1020,HAB_0,38.3935,-89.667
17725,1050,HAB_0,38.3905,-89.6665
18261,1080,HAB_0,38.38833,-89.666
18810,1110,HAB_0,38.38733,-89.66433
19341,1140,HAB_0,38.3875,-89.66167
19891,1170,HAB_0,38.38817,-89.65717
20379,1200,HAB_0,38.38867,-89.6525
20936,1230,HAB_0,38.38917,-89.648
21478,1260,HAB_0,38.39,-89.6435
21899,1290,HAB_0,38.3915,-89.639
22394,1320,HAB_0,38.39317,-89.63467
22888,1350,HAB_0,38.39517,-89.62967
23332,1380,HAB_0,38.39667,-89.62433
23817,1410,HAB_0,38.3985,-89.619
24372,1440,HAB_0,38.40067,-89.61433
24842,1470,HAB_0,38.402,-89.60883
25347,1500,HAB_0,38.40383,-89.60333
25823,1530,HAB_0,38.40567,-89.59783
26265,1560,HAB_0,38.40717,-89.5925
26759,1590,HAB_0,38.40867,-89.587
27253,1620,HAB_0,38.40983,-89.58167
27737,1650,HAB_0,38.41083,-89.57633
28268,1680,HAB_0,38.41133,-89.57067
28747,1710,HAB_0,38.41167,-89.56517
29148,1740,HAB_0,38.41183,-89.5595
29624,1770,HAB_0,38.41217,-89.554
30125,1800,HAB_0,38.41233,-89.5485
30606,1830,HAB_0,38.41233,-89.543
31026,1860,HAB_0,38.41233,-89.5375
31442,1890,HAB_0,38.41233,-89.532
31916,1920,HAB_0,38.41217,-89.52683
32310,1950,HAB_0,38.41233,-89.52133
32747,1980,HAB_0,38.41267,-89.5165
33234,2010,HAB_0,38.41333,-89.51167
33689,2040,HAB_0,38.41417,-89.50683
34167,2070,HAB_0,38.415,-89.50217
34643,2100,HAB_0,38.41567,-89.49717
35154,2130,HAB_0,38.41567,-89.49167
35546,2160,HAB_0,38.415,-89.48617
35894,2190,HAB_0,38.4145,-89.48067
36239,2220,HAB_0,38.414,-89.47533
36665,2250,HAB_0,38.41417,-89.47017
37207,2280,HAB_0,38.415,-89.46517
37765,2310,HAB_0,38.4175,-89.4595
38126,2340,HAB_0,38.41983,-89.45183
38486,2370,HAB_0,38.4225,-89.443
38823,2400,HAB_0,38.42533,-89.43367
39167,2430,HAB_0,38.42833,-89.4235
39540,2460,HAB_0,38.43067,-89.41333
39887,2490,HAB_0,38.433,-89.40283
40256,2520,HAB_0,38.43517,-89.3925
40626,2550,HAB_0,38.4375,-89.3825
40999,2580,HAB_0,38.43967,-89.37217
41368,2610,HAB_0,38.44183,-89.36167
41747,2640,HAB_0,38.44383,-89.35117
42110,2670,HAB_0,38.44667,-89.34117
42465,2700,HAB_0,38.44933,-89.33133
42810,2730,HAB_0,38.4515,-89.32183
43180,2760,HAB_0,38.45383,-89.3125
43556,2790,HAB_0,38.456,-89.30283
43967,2820,HAB_0,38.45833,-89.29333
44380,2850,HAB_0,38.4605,-89.28367
44770,2880,HAB_0,38.4625,-89.27333
45162,2910,HAB_0,38.46483,-89.264
45526,2940,HAB_0,38.467,-89.254
45875,2970,HAB_0,38.46883,-89.24433
46206,3000,HAB_0,38.47067,-89.23517
46539,3030,HAB_0,38.47217,-89.22667
46914,3060,HAB_0,38.47317,-89.21833
47615,3090,HAB_0,38.47683,-89.2015
48007,3120,HAB_0,38.478,-89.19233
48429,3150,HAB_0,38.4785,-89.18283
48835,3180,HAB_0,38.4785,-89.17417
49220,3210,HAB_0,38.47833,-89.16617
49614,3240,HAB_0,38.47817,-89.15833
49999,3270,HAB_0,38.47883,-89.1505
50390,3300,HAB_0,38.48017,-89.14283
50777,3330,HAB_0,38.482,-89.13533
51547,3360,HAB_0,38.48533,-89.1215
51918,3450,HAB_0,38.4865,-89.11417
52326,3480,HAB_0,38.48683,-89.1065
52713,3510,HAB_0,38.48683,-89.09967
53097,3540,HAB_0,38.48667,-89.09333
53485,3570,HAB_0,38.48733,-89.08783
53898,3600,HAB_0,38.48867,-89.082
54298,3630,HAB_0,38.49033,-89.07533
54681,3660,HAB_0,38.49183,-89.06883
55061,3690,HAB_0,38.49283,-89.06233
55422,3720,HAB_0,38.49333,-89.05583
55795,3750,HAB_0,38.49367,-89.04983
56183,3780,HAB_0,38.49333,-89.044
56591,3810,HAB_0,38.49367,-89.03867
57007,3840,HAB_0,38.49367,-89.03283
